Cattle_ID,Age_Months,Weight_kg,Breed,Disease_Status,Body_Condition
COW00518,63,676.0,Ayrshire,Healthy,4.5
COW00519,76,589.1,Brown Swiss,Healthy,4.4
COW00520,50,563.7,Jersey,Healthy,4.6
COW00521,27,505.2,Brown Swiss,Healthy,3.0
COW00522,32,552.5,Ayrshire,Ketosis,3.6
COW00523,101,529.8,Holstein,Foot and Mouth,4.3
COW00524,46,487.1,Ayrshire,Healthy,2.4
COW00525,45,526.8,Brown Swiss,Healthy,4.2
COW00526,111,565.9,Ayrshire,Mastitis,2.3
COW00527,27,488.6,Guernsey,Healthy,4.7
COW00528,110,485.5,Guernsey,Foot and Mouth,3.9
COW00529,111,441.2,Ayrshire,Ketosis,3.5
COW00530,76,581.3,Holstein,Healthy,3.5
COW00531,29,593.6,Brown Swiss,Healthy,2.5
COW00532,28,568.5,Holstein,Healthy,3.0
COW00533,42,627.2,Jersey,Healthy,4.2
COW00534,74,557.0,Holstein,Healthy,3.6
COW00535,28,581.4,Guernsey,Healthy,3.6
COW00536,61,574.3,Guernsey,Healthy,2.6
COW00537,24,542.7,Guernsey,Healthy,4.1
COW00538,70,507.5,Holstein,Healthy,3.2
COW00539,14,727.1,Jersey,Mastitis,2.5
COW00540,88,513.8,Guernsey,Healthy,4.8
COW00541,17,496.7,Ayrshire,Foot and Mouth,3.5
COW00542,33,584.7,Ayrshire,Healthy,3.6
COW00543,30,570.1,Holstein,Healthy,4.9
COW00544,101,437.6,Brown Swiss,Healthy,3.1
COW00545,17,639.8,Holstein,Mastitis,4.8
COW00546,58,542.5,Ayrshire,Healthy,4.1
COW00547,75,461.1,Holstein,Healthy,3.9
COW00548,67,645.1,Ayrshire,Healthy,2.7
COW00549,85,600.1,Holstein,Ketosis,2.2
COW00550,98,448.8,Holstein,Healthy,3.3
COW00551,54,692.2,Ayrshire,Healthy,2.0
COW00552,101,602.7,Brown Swiss,Foot and Mouth,2.2
COW00553,46,549.2,Brown Swiss,Healthy,3.8
COW00554,118,677.2,Guernsey,Healthy,4.2
COW00555,66,562.7,Jersey,Foot and Mouth,2.5
COW00556,91,547.8,Guernsey,Healthy,4.2
COW00557,106,497.2,Brown Swiss,Healthy,4.8
COW00558,97,596.5,Jersey,Healthy,4.2
COW00559,103,588.1,Jersey,Healthy,4.4
COW00560,69,551.2,Holstein,Bloat,4.1
COW00561,16,486.8,Jersey,Healthy,2.7
COW00562,65,560.4,Brown Swiss,Healthy,3.1
COW00563,31,544.4,Holstein,Healthy,4.8
COW00564,108,443.3,Holstein,Mastitis,4.0
COW00565,37,432.3,Guernsey,Mastitis,4.4
COW00566,36,595.2,Brown Swiss,Healthy,4.9
COW00567,38,341.8,Holstein,Bloat,2.7
COW00568,81,566.4,Guernsey,Healthy,3.0
COW00569,73,511.8,Guernsey,Mastitis,3.9
COW00570,114,654.7,Holstein,Healthy,2.1
COW00571,56,510.5,Jersey,Healthy,3.7
COW00572,42,602.8,Jersey,Mastitis,4.4
COW00573,17,518.2,Guernsey,Mastitis,3.8
COW00574,12,559.1,Holstein,Healthy,2.9
COW00575,52,608.9,Ayrshire,Healthy,4.2
COW00576,111,513.0,Jersey,Foot and Mouth,2.4
COW00577,68,629.7,Holstein,Healthy,4.7
COW00578,108,470.5,Ayrshire,Healthy,2.3
COW00579,22,573.6,Holstein,Healthy,4.6
COW00580,22,623.8,Holstein,Healthy,3.5
COW00581,102,602.8,Ayrshire,Healthy,3.3
COW00582,23,703.3,Brown Swiss,Healthy,3.5
COW00583,17,488.9,Brown Swiss,Bloat,2.6
COW00584,55,439.7,Guernsey,Healthy,3.4
COW00585,111,470.5,Guernsey,Mastitis,4.5
COW00586,86,602.8,Guernsey,Ketosis,4.4
COW00587,22,589.8,Holstein,Mastitis,2.5
COW00588,102,558.2,Brown Swiss,Healthy,4.0
COW00589,103,460.2,Jersey,Healthy,4.6
COW00590,98,611.3,Ayrshire,Healthy,4.5
COW00591,109,452.0,Brown Swiss,Healthy,3.3
COW00592,37,642.7,Holstein,Ketosis,2.1
COW00593,117,778.6,Ayrshire,Mastitis,4.8
COW00594,46,579.3,Jersey,Healthy,3.2
COW00595,98,596.6,Jersey,Healthy,3.1
COW00596,74,510.6,Ayrshire,Bloat,4.3
COW00597,96,405.2,Guernsey,Healthy,2.8
COW00598,79,501.8,Ayrshire,Foot and Mouth,4.5
COW00599,81,462.6,Guernsey,Healthy,2.2
COW00600,78,434.2,Ayrshire,Mastitis,4.2
COW00601,96,687.8,Holstein,Foot and Mouth,4.9
COW00602,91,571.8,Brown Swiss,Healthy,5.0
COW00603,26,580.4,Jersey,Healthy,4.8
COW00604,101,525.3,Jersey,Foot and Mouth,4.6
COW00605,69,536.2,Jersey,Healthy,2.8
COW00606,46,627.2,Jersey,Healthy,4.9
COW00607,67,547.4,Brown Swiss,Healthy,4.8
COW00608,116,592.5,Ayrshire,Healthy,3.6
COW00609,104,534.3,Guernsey,Mastitis,3.2
COW00610,102,522.6,Jersey,Healthy,2.3
COW00611,61,437.4,Brown Swiss,Healthy,3.8
COW00612,96,391.8,Brown Swiss,Bloat,4.1
COW00613,53,529.1,Jersey,Healthy,3.2
COW00614,86,554.5,Brown Swiss,Healthy,3.2
COW00615,81,447.1,Guernsey,Mastitis,3.7
COW00616,38,547.2,Jersey,Bloat,2.1
COW00617,40,554.3,Brown Swiss,Healthy,4.9
COW00618,18,377.5,Guernsey,Foot and Mouth,2.9
COW00619,27,476.8,Brown Swiss,Healthy,2.4
COW00620,58,582.6,Jersey,Healthy,2.0
COW00621,63,581.0,Brown Swiss,Bloat,4.6
COW00622,29,457.7,Guernsey,Bloat,4.6
COW00623,57,562.7,Jersey,Healthy,2.3
COW00624,77,631.8,Brown Swiss,Healthy,2.5
COW00625,37,612.2,Guernsey,Healthy,3.3
COW00626,48,542.4,Jersey,Healthy,2.6
COW00627,51,512.6,Jersey,Bloat,4.2
COW00628,66,499.7,Ayrshire,Foot and Mouth,2.2
COW00629,51,587.4,Jersey,Healthy,3.6
COW00630,91,565.6,Brown Swiss,Healthy,3.1
COW00631,47,600.4,Holstein,Healthy,3.4
COW00632,58,560.5,Ayrshire,Healthy,3.3
COW00633,52,615.5,Brown Swiss,Mastitis,2.5
COW00634,31,557.6,Guernsey,Healthy,2.7
COW00635,86,612.8,Guernsey,Healthy,2.2
COW00636,37,619.7,Jersey,Healthy,2.3
COW00637,44,485.6,Jersey,Ketosis,4.9
COW00638,97,405.3,Guernsey,Healthy,2.8
COW00639,114,673.5,Ayrshire,Healthy,2.9
COW00640,84,570.5,Holstein,Healthy,2.4
COW00641,110,412.8,Ayrshire,Healthy,4.3
COW00642,104,492.9,Ayrshire,Healthy,4.8
COW00643,63,611.7,Holstein,Healthy,4.4
COW00644,95,527.6,Holstein,Healthy,3.8
COW00645,47,509.0,Guernsey,Healthy,4.4
COW00646,61,662.1,Ayrshire,Foot and Mouth,3.2
COW00647,69,466.2,Jersey,Healthy,4.6
COW00648,115,486.1,Guernsey,Healthy,4.4
COW00649,103,566.9,Ayrshire,Healthy,2.0
COW00650,64,581.2,Jersey,Foot and Mouth,3.5
COW00651,82,589.7,Jersey,Mastitis,2.8
COW00652,33,622.9,Ayrshire,Foot and Mouth,2.3
COW00653,98,565.9,Jersey,Healthy,4.5
COW00654,71,589.2,Brown Swiss,Healthy,2.0
COW00655,69,529.3,Brown Swiss,Healthy,4.2
COW00656,94,555.0,Brown Swiss,Healthy,5.0
COW00657,80,558.6,Jersey,Healthy,3.4
COW00658,19,567.2,Guernsey,Healthy,3.1
COW00659,43,611.8,Guernsey,Healthy,3.8
COW00660,31,594.4,Jersey,Healthy,4.4
COW00661,91,553.5,Brown Swiss,Healthy,2.7
COW00662,15,485.3,Holstein,Healthy,2.8
COW00663,33,555.4,Jersey,Mastitis,3.8
COW00664,76,547.8,Ayrshire,Healthy,4.8
COW00665,87,565.5,Brown Swiss,Foot and Mouth,2.9
COW00666,66,726.5,Guernsey,Healthy,3.1
COW00667,104,508.1,Ayrshire,Foot and Mouth,5.0
COW00668,111,583.8,Guernsey,Mastitis,2.5
COW00669,26,635.5,Guernsey,Healthy,2.2
COW00670,114,557.8,Guernsey,Ketosis,3.8
COW00671,78,737.0,Brown Swiss,Healthy,2.1
COW00672,80,519.8,Guernsey,Healthy,2.5
COW00673,22,575.9,Jersey,Mastitis,3.9
COW00674,79,486.1,Ayrshire,Healthy,4.0
COW00675,90,521.9,Holstein,Healthy,3.5
COW00676,74,569.9,Ayrshire,Healthy,3.2
COW00677,21,617.7,Ayrshire,Healthy,3.7
COW00678,68,575.5,Holstein,Healthy,3.9
COW00679,113,650.7,Guernsey,Healthy,4.4
COW00680,90,542.4,Ayrshire,Healthy,4.4
COW00681,26,523.4,Brown Swiss,Healthy,4.0
COW00682,115,766.3,Jersey,Healthy,4.7
COW00683,115,581.5,Ayrshire,Healthy,4.5
COW00684,30,492.4,Brown Swiss,Mastitis,2.4
COW00685,98,494.5,Holstein,Healthy,4.9
COW00686,55,474.6,Jersey,Healthy,4.7
COW00687,76,624.9,Guernsey,Mastitis,3.0
COW00688,60,520.8,Brown Swiss,Bloat,2.1
COW00689,96,560.2,Jersey,Healthy,3.8
COW00690,119,544.9,Guernsey,Healthy,3.3
COW00691,97,608.5,Holstein,Mastitis,4.2
COW00692,112,482.3,Jersey,Bloat,3.6
COW00693,114,464.0,Brown Swiss,Healthy,2.2
COW00694,21,567.9,Holstein,Healthy,2.7
COW00695,39,598.1,Jersey,Healthy,4.6
COW00696,89,576.6,Ayrshire,Healthy,2.1
COW00697,75,485.2,Ayrshire,Bloat,4.2
COW00698,17,604.2,Ayrshire,Mastitis,2.9
COW00699,22,490.5,Jersey,Healthy,3.4
COW00700,68,508.3,Holstein,Healthy,3.6
COW00701,78,474.5,Ayrshire,Foot and Mouth,2.8
COW00702,30,654.1,Jersey,Healthy,4.0
COW00703,30,600.7,Guernsey,Foot and Mouth,4.1
COW00704,25,598.4,Holstein,Healthy,2.3
COW00705,73,649.8,Guernsey,Healthy,3.1
COW00706,12,775.0,Brown Swiss,Healthy,4.2
COW00707,73,413.3,Ayrshire,Healthy,4.2
COW00708,63,490.9,Holstein,Ketosis,3.6
COW00709,62,500.7,Brown Swiss,Healthy,4.3
COW00710,85,481.9,Ayrshire,Healthy,2.3
COW00711,68,463.8,Jersey,Healthy,2.4
COW00712,90,526.0,Guernsey,Healthy,4.0
COW00713,94,452.7,Holstein,Healthy,4.1
COW00714,111,576.8,Guernsey,Mastitis,4.4
COW00715,98,554.1,Jersey,Healthy,2.5
COW00716,67,588.5,Brown Swiss,Healthy,3.6
COW00717,65,590.6,Ayrshire,Healthy,4.0
COW00718,37,598.2,Guernsey,Healthy,2.7
COW00719,76,520.1,Brown Swiss,Mastitis,3.6
COW00720,27,719.7,Holstein,Healthy,3.9
COW00721,112,568.8,Jersey,Healthy,2.6
COW00722,103,401.0,Ayrshire,Mastitis,3.1
COW00723,24,469.8,Jersey,Mastitis,2.6
COW00724,96,410.8,Guernsey,Foot and Mouth,4.7
COW00725,24,551.4,Brown Swiss,Healthy,2.7
COW00726,89,540.3,Jersey,Healthy,2.4
COW00727,21,512.5,Guernsey,Mastitis,2.1
COW00728,64,710.9,Jersey,Healthy,2.1
COW00729,83,593.9,Jersey,Healthy,2.6
COW00730,90,608.1,Brown Swiss,Healthy,3.8
COW00731,57,475.5,Guernsey,Mastitis,2.1
COW00732,111,470.1,Ayrshire,Healthy,2.9
COW00733,95,552.9,Guernsey,Healthy,2.2
COW00734,34,563.8,Guernsey,Healthy,3.2
COW00735,84,401.5,Guernsey,Healthy,2.1
COW00736,90,535.6,Jersey,Mastitis,3.8
COW00737,48,551.1,Jersey,Healthy,4.1
COW00738,91,532.8,Brown Swiss,Healthy,4.2
COW00739,109,484.9,Guernsey,Bloat,2.7
COW00740,100,506.8,Guernsey,Mastitis,4.6
COW00741,94,535.9,Holstein,Healthy,4.1
COW00742,80,557.3,Guernsey,Ketosis,2.2
COW00743,41,598.4,Jersey,Healthy,3.3
COW00744,97,636.5,Ayrshire,Mastitis,4.3
COW00745,51,526.5,Guernsey,Healthy,2.9
COW00746,69,513.5,Ayrshire,Healthy,3.1
COW00747,45,585.0,Guernsey,Healthy,3.9
COW00748,45,598.9,Brown Swiss,Healthy,2.2
COW00749,29,515.3,Holstein,Healthy,4.9
COW00750,115,613.2,Jersey,Healthy,2.5
COW00751,27,628.4,Ayrshire,Healthy,2.1
COW00752,21,653.3,Jersey,Healthy,2.0
COW00753,113,692.3,Holstein,Healthy,3.2
COW00754,71,480.7,Jersey,Ketosis,4.7
COW00755,59,551.1,Brown Swiss,Mastitis,4.5
COW00756,91,550.9,Guernsey,Bloat,4.7
COW00757,53,542.2,Ayrshire,Healthy,3.6
COW00758,25,498.1,Ayrshire,Healthy,3.3
COW00759,90,431.2,Brown Swiss,Healthy,3.2
COW00760,31,557.4,Brown Swiss,Healthy,2.1
COW00761,71,488.5,Ayrshire,Healthy,4.7
COW00762,114,556.9,Holstein,Foot and Mouth,3.5
COW00763,113,486.5,Brown Swiss,Healthy,3.4
COW00764,50,462.0,Brown Swiss,Mastitis,3.5
COW00765,96,568.7,Guernsey,Healthy,4.4
COW00766,78,562.1,Ayrshire,Healthy,2.7
COW00767,63,596.3,Guernsey,Healthy,4.1
COW00768,27,724.9,Guernsey,Ketosis,4.1
COW00769,52,572.2,Guernsey,Healthy,4.5
COW00770,82,588.8,Brown Swiss,Healthy,2.0
COW00771,118,463.8,Jersey,Healthy,2.5
COW00772,12,447.0,Jersey,Healthy,3.4
COW00773,89,676.6,Guernsey,Ketosis,4.6
COW00774,103,476.1,Guernsey,Bloat,4.9
COW00775,114,466.5,Jersey,Mastitis,3.8
COW00776,57,546.9,Ayrshire,Ketosis,2.6
COW00777,24,542.8,Ayrshire,Mastitis,2.6
COW00778,41,477.8,Guernsey,Healthy,3.9
COW00779,103,525.6,Jersey,Healthy,2.6
COW00780,106,648.4,Ayrshire,Healthy,3.7
COW00781,80,485.5,Jersey,Healthy,4.5
COW00782,25,438.5,Brown Swiss,Healthy,3.2
COW00783,25,625.4,Ayrshire,Healthy,3.1
COW00784,63,589.4,Brown Swiss,Ketosis,2.1
COW00785,75,500.4,Jersey,Ketosis,2.8
COW00786,15,423.4,Holstein,Healthy,4.1
COW00787,86,490.4,Jersey,Mastitis,3.1
COW00788,70,545.6,Guernsey,Healthy,2.5
COW00789,13,643.3,Guernsey,Healthy,2.3
COW00790,22,467.1,Jersey,Healthy,2.3
COW00791,61,543.2,Holstein,Healthy,4.0
COW00792,90,604.0,Guernsey,Healthy,3.8
COW00793,101,359.5,Holstein,Healthy,3.6
COW00794,58,632.7,Holstein,Healthy,3.5
COW00795,43,455.4,Brown Swiss,Healthy,2.5
COW00796,116,576.6,Brown Swiss,Bloat,3.5
COW00797,61,569.7,Jersey,Healthy,2.2
COW00798,46,636.8,Jersey,Healthy,4.8
COW00799,59,594.1,Jersey,Healthy,2.2
COW00800,13,359.8,Jersey,Healthy,3.3
COW00801,44,487.2,Holstein,Healthy,2.0
COW00802,67,561.1,Holstein,Healthy,4.4
COW00803,111,534.4,Jersey,Healthy,2.5
COW00804,91,588.2,Holstein,Healthy,4.8
COW00805,96,613.1,Jersey,Mastitis,2.1
COW00806,70,598.7,Brown Swiss,Healthy,4.5
COW00807,23,532.9,Holstein,Healthy,4.0
COW00808,54,402.3,Guernsey,Healthy,2.7
COW00809,119,513.6,Guernsey,Healthy,2.6
COW00810,16,583.3,Brown Swiss,Healthy,3.1
COW00811,106,462.8,Guernsey,Healthy,4.5
COW00812,85,600.5,Ayrshire,Healthy,4.6
COW00813,42,622.7,Holstein,Mastitis,2.5
COW00814,96,560.1,Holstein,Healthy,3.1
COW00815,102,304.9,Jersey,Healthy,2.7
COW00816,16,447.8,Guernsey,Mastitis,2.4
COW00817,23,700.9,Ayrshire,Healthy,3.9
COW00818,83,506.3,Ayrshire,Foot and Mouth,3.0
COW00819,119,391.3,Brown Swiss,Bloat,2.7
COW00820,14,648.8,Brown Swiss,Ketosis,4.6
COW00821,83,551.1,Brown Swiss,Healthy,4.2
COW00822,26,638.4,Holstein,Healthy,4.3
COW00823,82,572.2,Brown Swiss,Healthy,2.1
COW00824,79,586.7,Brown Swiss,Healthy,4.7
COW00825,21,579.0,Jersey,Healthy,3.7
COW00826,85,605.8,Guernsey,Healthy,3.5
COW00827,108,732.2,Ayrshire,Healthy,2.0
COW00828,105,627.7,Jersey,Healthy,4.7
COW00829,15,423.6,Ayrshire,Healthy,3.6
COW00830,38,585.7,Holstein,Healthy,4.5
COW00831,38,641.3,Ayrshire,Bloat,4.0
COW00832,60,646.2,Guernsey,Healthy,4.4
COW00833,27,515.9,Jersey,Healthy,4.1
COW00834,104,643.2,Guernsey,Bloat,4.8
COW00835,95,624.2,Jersey,Healthy,2.7
COW00836,99,755.8,Guernsey,Healthy,2.6
COW00837,33,490.0,Holstein,Mastitis,4.1
COW00838,13,509.4,Jersey,Healthy,3.5
COW00839,110,525.5,Jersey,Healthy,3.8
COW00840,43,510.8,Holstein,Foot and Mouth,4.1
COW00841,82,478.8,Jersey,Mastitis,3.6
COW00842,110,329.0,Guernsey,Foot and Mouth,4.4
COW00843,15,515.2,Guernsey,Ketosis,3.0
COW00844,12,579.5,Brown Swiss,Healthy,4.6
COW00845,12,510.5,Holstein,Mastitis,2.3
COW00846,28,704.8,Jersey,Healthy,3.9
COW00847,17,551.1,Ayrshire,Mastitis,4.7
COW00848,100,653.3,Jersey,Mastitis,2.8
COW00849,77,570.9,Holstein,Mastitis,3.0
COW00850,117,616.1,Brown Swiss,Bloat,2.9
COW00851,98,572.3,Holstein,Healthy,3.7
COW00852,116,659.5,Jersey,Mastitis,3.2
COW00853,37,554.5,Ayrshire,Healthy,2.3
COW00854,43,589.7,Jersey,Healthy,4.7
COW00855,103,579.3,Guernsey,Mastitis,2.6
COW00856,38,526.9,Brown Swiss,Mastitis,3.6
COW00857,18,582.4,Jersey,Healthy,3.8
COW00858,84,728.8,Guernsey,Healthy,2.1
COW00859,98,528.4,Brown Swiss,Healthy,2.3
COW00860,116,583.6,Jersey,Healthy,4.9
COW00861,112,650.6,Jersey,Healthy,4.0
COW00862,24,641.2,Ayrshire,Bloat,2.1
COW00863,95,550.9,Holstein,Healthy,4.4
COW00864,103,359.3,Ayrshire,Ketosis,3.5
COW00865,87,591.3,Brown Swiss,Healthy,2.2
COW00866,100,372.4,Ayrshire,Mastitis,4.0
COW00867,102,667.6,Jersey,Healthy,3.5
COW00868,60,563.6,Brown Swiss,Mastitis,2.6
COW00869,16,630.0,Guernsey,Healthy,4.6
COW00870,61,477.8,Jersey,Mastitis,2.9
COW00871,33,425.8,Jersey,Bloat,2.9
COW00872,24,570.9,Brown Swiss,Healthy,2.8
COW00873,25,547.3,Guernsey,Healthy,4.3
COW00874,87,510.7,Jersey,Healthy,4.1
COW00875,66,556.8,Guernsey,Mastitis,4.7
COW00876,70,771.4,Guernsey,Healthy,2.7
COW00877,92,616.8,Holstein,Healthy,4.4
COW00878,71,634.0,Ayrshire,Healthy,3.7
COW00879,80,617.5,Holstein,Healthy,2.9
COW00880,21,668.4,Guernsey,Mastitis,2.1
COW00881,103,534.8,Brown Swiss,Mastitis,4.5
COW00882,60,385.6,Guernsey,Mastitis,2.7
COW00883,28,534.9,Guernsey,Mastitis,3.9
COW00884,99,614.9,Guernsey,Bloat,3.6
COW00885,91,472.4,Guernsey,Healthy,2.0
COW00886,17,535.9,Ayrshire,Ketosis,5.0
COW00887,32,494.7,Guernsey,Healthy,4.4
COW00888,13,670.2,Ayrshire,Healthy,3.5
COW00889,41,610.0,Brown Swiss,Mastitis,4.0
COW00890,22,602.1,Jersey,Healthy,3.4
COW00891,88,599.7,Jersey,Healthy,4.2
COW00892,68,547.0,Guernsey,Healthy,2.4
COW00893,117,565.8,Brown Swiss,Healthy,3.3
COW00894,92,455.2,Holstein,Bloat,3.0
COW00895,78,375.1,Jersey,Healthy,3.4
COW00896,67,562.0,Ayrshire,Healthy,3.4
COW00897,17,575.9,Guernsey,Healthy,2.4
COW00898,19,646.7,Guernsey,Healthy,4.9
COW00899,78,675.7,Holstein,Healthy,2.0
COW00900,12,675.6,Holstein,Healthy,2.0
COW00901,16,470.2,Jersey,Healthy,3.1
COW00902,35,521.8,Ayrshire,Healthy,3.9
COW00903,107,588.4,Brown Swiss,Healthy,2.5
COW00904,61,752.6,Guernsey,Healthy,3.6
COW00905,88,668.4,Brown Swiss,Mastitis,4.2
COW00906,56,639.6,Brown Swiss,Healthy,2.3
COW00907,30,519.0,Guernsey,Healthy,5.0
COW00908,52,479.3,Ayrshire,Ketosis,3.0
COW00909,21,613.1,Brown Swiss,Healthy,3.9
COW00910,95,461.9,Brown Swiss,Healthy,2.3
COW00911,31,530.9,Ayrshire,Foot and Mouth,4.1
COW00912,52,540.8,Jersey,Healthy,4.5
COW00913,117,677.4,Ayrshire,Mastitis,2.3
COW00914,75,521.6,Brown Swiss,Mastitis,2.4
COW00915,61,354.9,Ayrshire,Ketosis,2.8
COW00916,70,590.4,Brown Swiss,Ketosis,2.0
COW00917,96,494.1,Guernsey,Healthy,5.0
COW00918,39,553.4,Jersey,Mastitis,3.8
COW00919,80,543.1,Guernsey,Healthy,3.8
COW00920,106,528.1,Jersey,Healthy,4.9
COW00921,73,613.2,Guernsey,Healthy,4.5
COW00922,60,427.4,Guernsey,Healthy,4.4
COW00923,27,508.6,Brown Swiss,Healthy,3.0
COW00924,38,604.7,Brown Swiss,Healthy,3.0
COW00925,114,500.9,Jersey,Healthy,2.9
COW00926,70,421.3,Guernsey,Healthy,3.0
COW00927,44,603.5,Brown Swiss,Bloat,3.1
COW00928,57,639.8,Brown Swiss,Healthy,2.4
COW00929,74,546.4,Holstein,Mastitis,3.1
COW00930,70,393.1,Holstein,Foot and Mouth,3.3
COW00931,87,606.5,Holstein,Mastitis,2.9
COW00932,39,417.2,Ayrshire,Healthy,2.5
COW00933,82,574.7,Ayrshire,Foot and Mouth,3.1
COW00934,59,479.0,Holstein,Mastitis,3.4
COW00935,113,457.2,Holstein,Mastitis,4.2
COW00936,29,514.6,Guernsey,Bloat,4.1
COW00937,28,535.3,Brown Swiss,Healthy,2.6
COW00938,61,498.5,Jersey,Healthy,2.1
COW00939,66,597.1,Guernsey,Bloat,2.9
COW00940,86,514.3,Jersey,Healthy,2.5
COW00941,55,628.4,Holstein,Foot and Mouth,3.2
COW00942,110,572.5,Jersey,Healthy,4.9
COW00943,63,494.2,Ayrshire,Healthy,2.5
COW00944,25,480.7,Guernsey,Healthy,3.0
COW00945,24,418.2,Holstein,Healthy,4.2
COW00946,117,573.3,Brown Swiss,Ketosis,3.5
COW00947,26,521.6,Ayrshire,Healthy,2.1
COW00948,114,360.2,Ayrshire,Mastitis,2.5
COW00949,42,507.1,Guernsey,Healthy,4.8
COW00950,22,477.9,Holstein,Ketosis,2.3
COW00951,44,676.1,Jersey,Healthy,3.9
COW00952,78,413.8,Jersey,Healthy,4.4
COW00953,58,434.7,Holstein,Healthy,2.8
COW00954,96,638.8,Holstein,Healthy,4.2
COW00955,77,658.5,Jersey,Ketosis,2.5
COW00956,55,490.4,Brown Swiss,Ketosis,2.9
COW00957,80,499.4,Jersey,Healthy,2.9
COW00958,116,599.3,Brown Swiss,Healthy,5.0
COW00959,56,363.8,Jersey,Healthy,2.6
COW00960,28,401.1,Holstein,Healthy,2.4
COW00961,56,527.5,Ayrshire,Healthy,4.8
COW00962,102,674.0,Brown Swiss,Healthy,2.5
COW00963,35,515.1,Jersey,Healthy,4.6
COW00964,114,558.1,Ayrshire,Bloat,4.0
COW00965,75,640.7,Ayrshire,Healthy,3.7
COW00966,76,718.6,Ayrshire,Healthy,4.3
COW00967,46,503.9,Holstein,Healthy,4.2
COW00968,111,548.7,Guernsey,Healthy,2.3
COW00969,15,695.8,Ayrshire,Healthy,5.0
COW00970,44,428.2,Ayrshire,Healthy,4.8
COW00971,57,632.2,Jersey,Healthy,4.7
COW00972,63,468.5,Ayrshire,Mastitis,3.9
COW00973,63,558.2,Brown Swiss,Bloat,3.6
COW00974,27,530.6,Brown Swiss,Bloat,3.6
COW00975,36,473.4,Brown Swiss,Mastitis,2.0
COW00976,22,471.4,Guernsey,Healthy,3.5
COW00977,73,572.1,Holstein,Healthy,3.9
COW00978,49,629.6,Brown Swiss,Healthy,4.0
COW00979,73,539.6,Ayrshire,Ketosis,3.0
COW00980,75,555.6,Brown Swiss,Ketosis,3.4
COW00981,87,595.7,Jersey,Healthy,3.9
COW00982,71,472.3,Holstein,Healthy,3.3
COW00983,81,609.2,Brown Swiss,Healthy,4.9
COW00984,75,615.5,Guernsey,Healthy,4.1
COW00985,82,758.3,Brown Swiss,Ketosis,2.0
COW00986,78,519.9,Ayrshire,Healthy,2.1
COW00987,46,513.4,Guernsey,Healthy,4.1
COW00988,38,611.5,Brown Swiss,Healthy,3.2
COW00989,97,615.5,Holstein,Healthy,4.5
COW00990,49,507.2,Brown Swiss,Healthy,2.5
COW00991,71,517.7,Holstein,Foot and Mouth,2.0
COW00992,33,593.3,Guernsey,Healthy,3.2
COW00993,58,483.8,Holstein,Healthy,4.2
COW00994,69,517.2,Ayrshire,Healthy,4.9
COW00995,79,557.2,Jersey,Healthy,4.7
COW00996,68,629.7,Brown Swiss,Healthy,3.5
COW00997,50,501.6,Holstein,Healthy,4.4
COW00998,115,402.6,Jersey,Healthy,2.2
COW00999,67,396.7,Ayrshire,Healthy,3.7
COW01000,99,449.2,Jersey,Foot and Mouth,4.8
COW01001,91,444.9,Brown Swiss,Mastitis,3.2
COW01002,72,537.6,Ayrshire,Bloat,4.9
COW01003,107,454.9,Guernsey,Healthy,2.7
COW01004,25,493.8,Holstein,Mastitis,2.3
COW01005,111,488.1,Jersey,Mastitis,3.6
COW01006,103,514.8,Jersey,Healthy,4.7
COW01007,66,655.8,Jersey,Healthy,2.9
COW01008,91,603.0,Jersey,Healthy,4.4
COW01009,68,551.3,Brown Swiss,Mastitis,2.5
COW01010,41,513.1,Jersey,Healthy,4.2
COW01011,98,515.3,Jersey,Healthy,3.7
COW01012,38,576.2,Brown Swiss,Ketosis,2.5
COW01013,45,596.7,Jersey,Healthy,4.2
COW01014,68,477.4,Jersey,Ketosis,4.1
COW01015,102,552.9,Brown Swiss,Foot and Mouth,3.5
COW01016,53,387.5,Ayrshire,Foot and Mouth,2.7
COW01017,65,566.9,Brown Swiss,Mastitis,2.4
COW01018,16,611.0,Brown Swiss,Healthy,4.9
COW01019,24,527.6,Ayrshire,Healthy,4.0
COW01020,18,695.3,Guernsey,Mastitis,4.4
COW01021,19,479.5,Jersey,Mastitis,4.1
COW01022,105,567.4,Jersey,Healthy,4.5
COW01023,102,547.1,Brown Swiss,Healthy,2.5
COW01024,100,542.0,Brown Swiss,Healthy,3.5
COW01025,18,540.9,Holstein,Healthy,4.0
COW01026,20,558.6,Holstein,Healthy,2.3
COW01027,42,617.8,Jersey,Foot and Mouth,2.4
COW01028,73,660.2,Ayrshire,Mastitis,3.9
COW01029,48,549.8,Guernsey,Mastitis,4.6
COW01030,64,615.2,Ayrshire,Healthy,4.0
COW01031,30,493.9,Holstein,Healthy,2.1
COW01032,90,611.3,Brown Swiss,Healthy,4.9
COW01033,45,489.0,Brown Swiss,Healthy,2.4
COW01034,19,637.3,Brown Swiss,Healthy,2.7
COW01035,92,726.9,Brown Swiss,Healthy,4.9
COW01036,109,540.2,Jersey,Healthy,4.3
COW01037,13,374.6,Holstein,Healthy,4.8
COW01038,59,506.2,Ayrshire,Healthy,4.4
COW01039,101,648.6,Ayrshire,Healthy,4.0
COW01040,88,594.2,Holstein,Healthy,2.9
